ApprovalFY,Term,NoEmp,NewExist,CreateJob,RetainedJob,UrbanRural,RevLineCr,LowDoc,DisbursementGross,MIS_Status,GrAppv,sector,isFranchise,sameState,backRealEstate,Portion
2005,18,2,1.0,0,2,1,Y,N,23407.0,CHGOFF,10000.0,Prof_scien_and_tech_serv,No Franchise,0,0,0.5
2007,65,1,2.0,0,1,1,Y,N,10000.0,CHGOFF,10000.0,Other_no_pub,No Franchise,0,0,0.5
2007,61,2,2.0,10,2,1,N,N,5000.0,CHGOFF,5000.0,Other_no_pub,No Franchise,0,0,0.85
2004,4,4,1.0,0,0,1,N,N,50000.0,CHGOFF,50000.0,Retail_trade,No Franchise,0,0,0.5
2006,59,1,2.0,0,1,2,Y,N,15000.0,CHGOFF,10000.0,Manufacturing,No Franchise,0,0,0.5
2006,27,1,2.0,0,0,2,N,N,26811.0,CHGOFF,27000.0,Retail_trade,No Franchise,0,0,0.85
2007,35,40,1.0,0,40,1,Y,N,65333.0,CHGOFF,40000.0,Accommodation_food_serv,No Franchise,0,0,0.5
2007,37,15,1.0,0,15,1,N,N,175000.0,CHGOFF,100000.0,Other_no_pub,No Franchise,0,0,0.5
2008,75,1,1.0,1,1,1,Y,N,30000.0,CHGOFF,30000.0,Prof_scien_and_tech_serv,No Franchise,1,0,0.5
2009,39,0,1.0,0,0,1,Y,N,37489.0,CHGOFF,25000.0,Retail_trade,No Franchise,1,0,0.5
2007,60,1,1.0,1,1,2,N,N,35000.0,CHGOFF,35000.0,Wholesale_trade,No Franchise,0,0,0.5
2006,5,2,1.0,2,2,1,Y,N,78939.0,CHGOFF,25000.0,Construction,No Franchise,0,0,0.5
2005,8,1,1.0,0,0,1,Y,N,13080.0,CHGOFF,10000.0,Manufacturing,No Franchise,0,0,0.5
2006,4,3,1.0,0,3,1,Y,N,79571.0,CHGOFF,50000.0,Other_no_pub,No Franchise,1,0,0.5
2006,14,30,1.0,4,34,1,Y,N,48576.0,CHGOFF,30000.0,Arts_enter_recreation,No Franchise,0,0,0.5
2004,197,2,2.0,0,0,1,N,N,188500.0,CHGOFF,188500.0,Other_no_pub,No Franchise,1,0,0.75
2006,89,1,2.0,5,1,1,N,N,315000.0,CHGOFF,315000.0,Educational_services,No Franchise,0,0,0.75
2006,49,2,1.0,6,2,2,Y,N,44500.0,CHGOFF,25000.0,Other_no_pub,No Franchise,0,0,0.5
2006,58,3,1.0,1,3,1,N,N,50000.0,CHGOFF,50000.0,Accommodation_food_serv,No Franchise,0,0,0.5
2006,50,1,1.0,0,1,1,Y,N,18000.0,CHGOFF,15000.0,Construction,No Franchise,1,0,0.5
2007,67,1,1.0,2,3,1,N,N,10000.0,CHGOFF,10000.0,Arts_enter_recreation,No Franchise,0,0,0.85
2007,18,8,1.0,0,8,1,Y,N,101464.0,CHGOFF,50000.0,Retail_trade,No Franchise,0,0,0.5
2007,46,8,1.0,0,8,1,N,N,50000.0,CHGOFF,50000.0,Accommodation_food_serv,No Franchise,0,0,0.5
2005,26,4,2.0,0,0,2,N,N,54000.0,CHGOFF,54000.0,Retail_trade,No Franchise,0,0,0.85
2007,49,1,1.0,2,1,2,N,N,84000.0,CHGOFF,84600.0,Construction,No Franchise,1,0,0.5
2004,67,1,1.0,1,2,2,Y,N,20000.0,CHGOFF,20000.0,Other_no_pub,No Franchise,1,0,0.5
2008,40,1,1.0,6,1,1,Y,N,91280.0,CHGOFF,40000.0,Prof_scien_and_tech_serv,No Franchise,1,0,0.5
2008,88,0,2.0,14,0,1,N,N,800000.0,CHGOFF,800000.0,Retail_trade,No Franchise,0,0,0.75
2005,17,1,1.0,0,0,1,N,N,50000.0,CHGOFF,50000.0,Wholesale_trade,No Franchise,0,0,0.5
2010,94,3,1.0,2,5,1,N,N,200000.0,CHGOFF,200000.0,Retail_trade,No Franchise,1,0,0.9
2006,42,1,1.0,2,1,1,N,N,15000.0,CHGOFF,15000.0,Retail_trade,No Franchise,0,0,0.85
2004,48,4,1.0,2,4,1,Y,N,53973.0,CHGOFF,50000.0,Retail_trade,No Franchise,0,0,0.5
2007,30,1,2.0,5,6,1,N,N,25000.0,CHGOFF,25000.0,Arts_enter_recreation,No Franchise,0,0,0.5
2007,3,6,1.0,10,6,1,Y,N,74859.0,CHGOFF,50000.0,Arts_enter_recreation,No Franchise,0,0,0.5
2004,287,21,1.0,0,0,1,N,N,1190000.0,CHGOFF,1190000.0,Accommodation_food_serv,Franchise,0,1,0.75
2007,60,5,1.0,0,5,1,N,N,87500.0,CHGOFF,50000.0,Retail_trade,No Franchise,0,0,0.5
2006,56,3,1.0,2,3,1,Y,N,74300.0,CHGOFF,74300.0,RE_rental_leasing,No Franchise,0,0,0.5
2005,60,3,1.0,1,3,1,N,N,50000.0,CHGOFF,50000.0,Retail_trade,No Franchise,0,0,0.5
2009,69,1,2.0,2,1,1,N,N,38400.0,CHGOFF,38400.0,Arts_enter_recreation,No Franchise,0,0,0.5
2007,55,3,1.0,1,3,1,N,N,75000.0,CHGOFF,75000.0,Retail_trade,No Franchise,0,0,0.5
2008,64,7,1.0,3,7,1,Y,N,149961.0,CHGOFF,100000.0,Manufacturing,No Franchise,1,0,0.5
2005,30,2,1.0,0,2,1,N,N,96500.0,CHGOFF,50000.0,Admini_sup_and_waste_mgm_rem,No Franchise,0,0,0.5
2006,50,7,1.0,0,7,1,Y,N,60241.0,CHGOFF,35000.0,Construction,No Franchise,0,0,0.5
2008,75,1,1.0,1,2,1,Y,N,49404.0,CHGOFF,48000.0,Wholesale_trade,No Franchise,0,0,0.5
2005,5,20,1.0,0,5,1,Y,N,38916.0,CHGOFF,25000.0,Construction,No Franchise,1,0,0.5
2006,23,2,1.0,0,2,1,Y,N,83982.0,CHGOFF,25000.0,Retail_trade,No Franchise,0,0,0.5
2007,42,8,1.0,0,8,1,Y,N,52500.0,CHGOFF,35000.0,Arts_enter_recreation,Franchise,0,0,0.5
2009,40,2,1.0,6,2,1,N,N,25000.0,CHGOFF,25000.0,Prof_scien_and_tech_serv,No Franchise,0,0,0.85
2007,103,0,2.0,30,0,1,N,N,325000.0,CHGOFF,325000.0,Accommodation_food_serv,No Franchise,0,0,0.75
2001,62,150,2.0,0,0,1,N,N,850000.0,CHGOFF,850000.0,Accommodation_food_serv,No Franchise,1,0,0.75
2007,32,4,1.0,0,4,1,Y,N,57500.0,CHGOFF,35000.0,Prof_scien_and_tech_serv,No Franchise,0,0,0.5
2005,24,1,1.0,1,1,1,Y,N,54006.0,CHGOFF,34500.0,Retail_trade,No Franchise,0,0,0.5
2008,69,2,1.0,4,2,1,N,N,15000.0,CHGOFF,15000.0,Retail_trade,No Franchise,0,0,0.85
2007,67,7,1.0,0,7,1,N,N,90000.0,CHGOFF,75000.0,Prof_scien_and_tech_serv,No Franchise,0,0,0.5
2000,156,15,2.0,0,0,1,N,N,1000000.0,CHGOFF,1000000.0,Retail_trade,Franchise,1,0,0.67
2005,42,6,1.0,0,6,1,N,N,20000.0,CHGOFF,20000.0,Other_no_pub,No Franchise,0,0,0.5
2010,58,1,2.0,1,1,1,N,N,25000.0,CHGOFF,25000.0,Prof_scien_and_tech_serv,No Franchise,0,0,0.85
2001,27,12,2.0,0,0,1,N,N,50000.0,CHGOFF,50000.0,Accommodation_food_serv,No Franchise,1,0,0.85
2006,165,1,1.0,2,1,2,N,N,180000.0,CHGOFF,180000.0,Retail_trade,No Franchise,0,0,0.5
2008,39,2,1.0,0,2,1,N,N,50000.0,CHGOFF,50000.0,Prof_scien_and_tech_serv,No Franchise,0,0,0.5
2006,40,1,2.0,0,1,2,Y,N,50000.0,CHGOFF,25000.0,Trans_Ware,No Franchise,0,0,0.5
2003,54,1,1.0,0,1,1,Y,N,30119.0,CHGOFF,30000.0,Manufacturing,No Franchise,0,0,0.5
2006,43,3,1.0,1,4,1,Y,N,50299.0,CHGOFF,50000.0,Admini_sup_and_waste_mgm_rem,No Franchise,0,0,0.5
2007,65,8,2.0,10,18,1,N,N,50000.0,CHGOFF,50000.0,Admini_sup_and_waste_mgm_rem,No Franchise,0,0,0.5
2004,17,16,1.0,0,16,2,Y,N,15000.0,CHGOFF,15000.0,Accommodation_food_serv,No Franchise,0,0,0.5
2009,108,17,1.0,0,17,1,N,N,1980000.0,CHGOFF,2000000.0,Health_care_social_ass,No Franchise,0,0,0.75
2005,21,5,2.0,0,5,2,N,N,91400.0,CHGOFF,91400.0,Retail_trade,No Franchise,0,0,0.5
2007,13,0,1.0,0,0,1,Y,N,25918.0,CHGOFF,10000.0,Information,No Franchise,1,0,0.5
2008,60,3,2.0,0,3,1,N,N,20000.0,CHGOFF,20000.0,Retail_trade,No Franchise,1,0,0.85
2004,21,34,1.0,0,0,1,Y,N,32000.0,CHGOFF,25000.0,Other_no_pub,No Franchise,0,0,0.5
2007,83,27,2.0,27,27,1,N,N,1200000.0,CHGOFF,1200000.0,Construction,No Franchise,1,0,0.75
2000,5,2,1.0,1,2,1,Y,N,16500.0,CHGOFF,16500.0,Other_no_pub,No Franchise,1,0,0.5
2001,24,1,2.0,0,1,1,Y,N,10000.0,CHGOFF,10000.0,Accommodation_food_serv,No Franchise,0,0,0.5
1999,40,1,2.0,0,0,1,N,N,100000.0,CHGOFF,100000.0,Health_care_social_ass,No Franchise,1,0,0.75
2007,65,1,1.0,2,3,1,Y,N,149183.0,CHGOFF,50000.0,Wholesale_trade,No Franchise,0,0,0.5
2007,36,2,1.0,0,2,1,N,N,112000.0,CHGOFF,112000.0,Trans_Ware,No Franchise,0,0,0.5
2002,109,6,1.0,0,0,1,N,N,198000.0,CHGOFF,198000.0,Prof_scien_and_tech_serv,No Franchise,0,0,0.75
2006,35,2,1.0,1,2,1,N,N,50000.0,CHGOFF,50000.0,Construction,No Franchise,0,0,0.5
2008,28,2,2.0,3,2,1,N,N,15000.0,CHGOFF,15000.0,Accommodation_food_serv,No Franchise,0,0,0.85
2007,107,1,2.0,2,1,1,N,N,150000.0,CHGOFF,150000.0,Retail_trade,No Franchise,0,0,0.85
2000,12,3,1.0,0,0,1,N,N,136764.0,CHGOFF,150000.0,Trans_Ware,No Franchise,1,0,0.75
2008,66,3,1.0,0,0,1,N,N,20000.0,CHGOFF,20000.0,Other_no_pub,No Franchise,0,0,0.85
2010,48,2,2.0,0,2,1,Y,N,39220.0,CHGOFF,25000.0,Trans_Ware,No Franchise,1,0,0.5
2005,3,12,1.0,0,12,2,Y,N,210165.0,CHGOFF,100000.0,Construction,No Franchise,1,0,0.5
2006,22,2,1.0,2,2,1,N,N,50000.0,CHGOFF,50000.0,Manufacturing,No Franchise,0,0,0.85
2007,88,5,1.0,0,5,1,N,N,180000.0,CHGOFF,180000.0,Other_no_pub,No Franchise,0,0,0.75
2010,33,1,2.0,2,1,2,N,N,120000.0,CHGOFF,120000.0,Retail_trade,No Franchise,1,0,0.85
2003,3,5,1.0,0,5,1,Y,N,102951.0,CHGOFF,50000.0,Retail_trade,No Franchise,0,0,0.5
2007,50,1,1.0,0,1,1,N,N,75000.0,CHGOFF,75000.0,Construction,No Franchise,0,0,0.5
2006,51,10,1.0,1,10,1,Y,N,74500.0,CHGOFF,50000.0,RE_rental_leasing,No Franchise,0,0,0.5
2007,43,2,1.0,0,2,1,Y,N,57262.0,CHGOFF,25000.0,Admini_sup_and_waste_mgm_rem,No Franchise,0,0,0.5
2007,8,10,1.0,5,5,1,Y,N,299959.0,CHGOFF,157000.0,Construction,No Franchise,0,0,0.5
2006,57,5,2.0,0,5,1,Y,N,94344.0,CHGOFF,100000.0,Retail_trade,No Franchise,0,0,0.5
2007,193,2,1.0,0,0,2,N,N,620000.0,CHGOFF,620000.0,Ag_fores_ﬁshi_hunting,No Franchise,0,0,0.75
2006,9,11,1.0,1,12,1,Y,N,204693.0,CHGOFF,60000.0,Retail_trade,No Franchise,0,0,0.5
2007,42,70,1.0,0,70,1,Y,N,109972.0,CHGOFF,70000.0,Other_no_pub,No Franchise,0,0,0.5
2008,55,3,1.0,0,3,1,N,N,61257.0,CHGOFF,40500.0,Retail_trade,No Franchise,0,0,0.5
2004,6,2,1.0,0,2,1,Y,N,87888.0,CHGOFF,25000.0,Other_no_pub,No Franchise,0,0,0.5
2010,42,1,1.0,0,1,1,Y,N,21148.0,CHGOFF,10000.0,Other_no_pub,No Franchise,0,0,0.5
2006,46,2,1.0,0,2,1,N,N,35000.0,CHGOFF,35000.0,Retail_trade,No Franchise,0,0,0.5
2006,38,30,1.0,4,34,1,Y,N,100000.0,CHGOFF,100000.0,Health_care_social_ass,No Franchise,0,0,0.5
2007,45,4,1.0,2,4,1,Y,N,311500.0,CHGOFF,89000.0,Retail_trade,No Franchise,0,0,0.5
2007,56,1,2.0,0,1,2,N,N,100000.0,CHGOFF,100000.0,Trans_Ware,No Franchise,1,0,0.85
2006,106,1,2.0,0,0,1,N,N,650000.0,CHGOFF,650000.0,Accommodation_food_serv,No Franchise,1,0,0.75
2004,27,20,2.0,0,0,2,Y,N,77668.0,CHGOFF,50000.0,Accommodation_food_serv,No Franchise,0,0,0.5
2008,19,3,1.0,2,5,1,Y,N,9173.0,CHGOFF,5000.0,Retail_trade,No Franchise,0,0,0.5
2007,6,5,2.0,2,7,1,Y,N,35000.0,CHGOFF,15000.0,Accommodation_food_serv,No Franchise,0,0,0.5
2007,38,1,2.0,0,1,1,Y,N,11180.0,CHGOFF,5000.0,Accommodation_food_serv,No Franchise,0,0,0.5
2007,46,7,1.0,1,1,1,Y,N,10495.0,CHGOFF,10000.0,Trans_Ware,No Franchise,0,0,0.5
2008,25,0,1.0,0,0,1,N,N,10000.0,CHGOFF,10000.0,Accommodation_food_serv,No Franchise,0,0,0.5
2004,29,2,1.0,1,2,1,Y,N,288387.0,CHGOFF,100000.0,Construction,No Franchise,0,0,0.5
2008,67,10,1.0,2,10,1,Y,N,90347.0,CHGOFF,50000.0,Arts_enter_recreation,No Franchise,1,0,0.5
2008,9,20,2.0,10,10,1,Y,N,25060.0,CHGOFF,25000.0,Accommodation_food_serv,No Franchise,1,0,0.5
2005,33,3,1.0,1,3,2,N,N,50000.0,CHGOFF,50000.0,Finance_insurance,No Franchise,0,0,0.5
2004,10,2,1.0,3,2,1,Y,N,159281.0,CHGOFF,70000.0,Prof_scien_and_tech_serv,No Franchise,1,0,0.5
2002,1,5,1.0,0,5,1,N,N,50000.0,CHGOFF,50000.0,Health_care_social_ass,No Franchise,0,0,0.5
2005,52,3,2.0,0,3,1,Y,N,144600.0,CHGOFF,75000.0,Admini_sup_and_waste_mgm_rem,No Franchise,0,0,0.5
2007,56,11,1.0,3,11,1,N,N,15000.0,CHGOFF,15000.0,Construction,No Franchise,0,0,0.85
2007,99,14,2.0,0,0,1,N,N,190000.0,CHGOFF,190000.0,Accommodation_food_serv,No Franchise,1,0,0.75
2008,36,2,1.0,0,2,1,N,N,13000.0,CHGOFF,13000.0,Manufacturing,No Franchise,0,0,0.5
2007,35,2,2.0,8,2,1,Y,N,50419.0,CHGOFF,25000.0,Accommodation_food_serv,Franchise,0,0,0.5
2007,60,7,1.0,19,7,1,N,N,129900.0,CHGOFF,85000.0,Admini_sup_and_waste_mgm_rem,No Franchise,0,0,0.5
2005,32,4,1.0,0,4,1,N,N,10000.0,CHGOFF,10000.0,Wholesale_trade,No Franchise,0,0,0.5
2001,112,10,1.0,0,0,1,N,N,383500.0,CHGOFF,383500.0,Manufacturing,No Franchise,0,0,0.75
2006,13,10,1.0,2,12,1,Y,N,100148.0,CHGOFF,50000.0,Prof_scien_and_tech_serv,No Franchise,1,0,0.5
2005,45,4,1.0,0,0,1,Y,N,50000.0,CHGOFF,50000.0,Wholesale_trade,No Franchise,0,0,0.5
2000,38,10,2.0,0,0,1,N,N,230761.0,CHGOFF,260000.0,Trans_Ware,No Franchise,1,0,0.75
2007,44,5,1.0,0,5,1,Y,N,16500.0,CHGOFF,10000.0,Construction,No Franchise,0,0,0.5
2006,51,6,2.0,0,6,1,Y,N,77125.0,CHGOFF,70000.0,Prof_scien_and_tech_serv,No Franchise,0,0,0.5
1999,246,3,1.0,0,0,1,N,N,340000.0,CHGOFF,340000.0,Retail_trade,No Franchise,1,1,0.75
2005,18,7,1.0,1,7,2,Y,N,435253.0,CHGOFF,225000.0,Retail_trade,No Franchise,1,0,0.5
2009,48,3,1.0,3,6,1,Y,N,102670.0,CHGOFF,50000.0,Retail_trade,No Franchise,0,0,0.5
2007,46,7,1.0,1,0,1,N,N,30847.0,CHGOFF,31000.0,Retail_trade,No Franchise,0,0,0.5
2006,34,7,1.0,0,7,2,Y,N,190139.0,CHGOFF,50000.0,Construction,No Franchise,0,0,0.5
2005,39,1,2.0,1,1,1,Y,N,13000.0,CHGOFF,10000.0,Manufacturing,No Franchise,0,0,0.5
2006,33,3,2.0,0,3,2,N,N,43500.0,CHGOFF,43500.0,Arts_enter_recreation,No Franchise,0,0,0.85
2004,17,2,1.0,0,2,1,Y,N,17738.0,CHGOFF,10000.0,Construction,No Franchise,0,0,0.5
2006,45,1,1.0,0,1,1,Y,N,20000.0,CHGOFF,20000.0,Trans_Ware,No Franchise,0,0,0.5
2000,2,6,1.0,2,2,1,Y,N,150416.0,CHGOFF,100000.0,Retail_trade,No Franchise,1,0,0.5
2006,18,2,1.0,0,2,1,Y,N,30741.0,CHGOFF,17700.0,Retail_trade,No Franchise,0,0,0.5
2007,40,3,1.0,0,3,1,Y,N,13179.0,CHGOFF,5000.0,Wholesale_trade,No Franchise,1,0,0.5
2006,37,2,1.0,0,2,1,Y,N,103685.0,CHGOFF,50000.0,Construction,No Franchise,1,0,0.5
2003,58,3,1.0,0,3,1,Y,N,9500.0,CHGOFF,10000.0,Admini_sup_and_waste_mgm_rem,Franchise,0,0,0.5
2008,54,1,1.0,0,1,1,Y,N,30014.0,CHGOFF,30000.0,Prof_scien_and_tech_serv,No Franchise,0,0,0.5
2007,42,11,1.0,2,11,1,Y,N,234287.0,CHGOFF,100000.0,Admini_sup_and_waste_mgm_rem,No Franchise,0,0,0.5
2008,84,2,1.0,0,2,1,Y,N,116700.0,CHGOFF,50000.0,Educational_services,No Franchise,0,0,0.5
2007,27,1,1.0,0,1,1,Y,N,29755.0,CHGOFF,25000.0,Other_no_pub,No Franchise,0,0,0.5
2005,32,12,1.0,0,12,1,Y,N,71293.0,CHGOFF,50000.0,Accommodation_food_serv,No Franchise,0,0,0.5
2002,18,45,1.0,0,0,1,N,N,781920.0,CHGOFF,1000000.0,Manufacturing,No Franchise,0,0,0.75
2008,54,2,1.0,0,2,1,Y,N,63693.0,CHGOFF,25000.0,Prof_scien_and_tech_serv,No Franchise,0,0,0.5
2009,15,3,1.0,2,3,1,Y,N,104196.0,CHGOFF,100000.0,Retail_trade,No Franchise,0,0,0.85
2006,8,1,1.0,0,1,1,Y,N,108160.0,CHGOFF,25000.0,Admini_sup_and_waste_mgm_rem,No Franchise,0,0,0.5
2006,61,3,1.0,10,3,1,Y,N,50500.0,CHGOFF,25000.0,Construction,No Franchise,0,0,0.5
2009,107,6,1.0,0,6,1,N,N,10000.0,CHGOFF,10000.0,RE_rental_leasing,No Franchise,0,0,0.9
2009,68,6,1.0,9,6,1,N,N,25000.0,CHGOFF,25000.0,Manufacturing,No Franchise,1,0,0.85
2006,57,4,1.0,2,4,1,N,N,100000.0,CHGOFF,100000.0,Health_care_social_ass,No Franchise,0,0,0.5
2007,22,5,2.0,0,5,1,Y,N,56775.0,CHGOFF,20000.0,Trans_Ware,No Franchise,0,0,0.5
2007,26,12,1.0,0,12,1,Y,N,23759.0,CHGOFF,10000.0,Other_no_pub,No Franchise,0,0,0.5
2004,22,1,1.0,0,1,1,Y,N,10220.0,CHGOFF,10000.0,Manufacturing,No Franchise,0,0,0.5
2007,20,1,1.0,2,1,1,Y,N,77908.0,CHGOFF,35000.0,Construction,No Franchise,0,0,0.5
2007,47,2,2.0,0,2,1,Y,N,103194.0,CHGOFF,50000.0,RE_rental_leasing,No Franchise,0,0,0.5
2007,96,1,1.0,2,1,1,N,N,10000.0,CHGOFF,10000.0,Admini_sup_and_waste_mgm_rem,No Franchise,0,0,0.85
2005,10,2,1.0,0,2,1,Y,N,29788.0,CHGOFF,12000.0,Educational_services,No Franchise,0,0,0.5
2005,9,2,1.0,1,2,1,Y,N,206745.0,CHGOFF,45000.0,Retail_trade,No Franchise,0,0,0.5
2007,45,1,1.0,0,1,1,N,N,25000.0,CHGOFF,25000.0,Trans_Ware,No Franchise,0,0,0.85
2006,91,2,1.0,0,0,1,N,N,69600.0,CHGOFF,69600.0,Trans_Ware,No Franchise,1,0,0.85
2006,27,4,1.0,3,4,1,Y,N,82194.0,CHGOFF,50000.0,Retail_trade,No Franchise,0,0,0.5
2008,39,2,1.0,2,2,1,Y,N,90077.0,CHGOFF,35000.0,RE_rental_leasing,No Franchise,0,0,0.5
2005,32,2,1.0,0,2,1,N,N,64850.0,CHGOFF,40000.0,Retail_trade,No Franchise,0,0,0.5
2000,28,12,1.0,0,12,1,Y,N,74861.0,CHGOFF,75000.0,Manufacturing,No Franchise,0,0,0.5
2006,53,1,1.0,0,1,1,Y,N,189341.0,CHGOFF,100000.0,Manufacturing,No Franchise,0,0,0.5
2004,38,16,1.0,0,0,2,Y,N,96533.0,CHGOFF,53000.0,Prof_scien_and_tech_serv,No Franchise,0,0,0.5
2009,62,7,1.0,0,7,2,Y,N,27829.0,CHGOFF,15000.0,Accommodation_food_serv,Franchise,1,0,0.5
2008,35,4,1.0,2,4,2,Y,N,40385.0,CHGOFF,20000.0,Information,No Franchise,1,0,0.5
2004,15,4,1.0,0,4,1,N,N,10000.0,CHGOFF,10000.0,Admini_sup_and_waste_mgm_rem,No Franchise,0,0,0.5
2007,70,7,1.0,3,10,1,N,N,50000.0,CHGOFF,50000.0,Construction,No Franchise,0,0,0.5
2006,47,2,1.0,0,2,2,Y,N,39401.0,CHGOFF,15000.0,Finance_insurance,No Franchise,0,0,0.5
2008,94,1,1.0,0,1,1,N,N,10000.0,CHGOFF,10000.0,Manufacturing,No Franchise,0,0,0.85
2007,102,2,2.0,0,2,1,N,N,25000.0,CHGOFF,25000.0,Other_no_pub,No Franchise,0,0,0.85
2008,71,2,2.0,8,10,1,N,N,247500.0,CHGOFF,247500.0,Retail_trade,No Franchise,0,0,0.75
2007,47,6,1.0,1,6,1,N,N,100000.0,CHGOFF,100000.0,Retail_trade,No Franchise,0,0,0.5
2006,44,1,1.0,0,1,2,Y,N,68414.0,CHGOFF,35000.0,Construction,No Franchise,1,0,0.5
2008,67,4,2.0,0,4,1,Y,N,35000.0,CHGOFF,35000.0,Finance_insurance,No Franchise,0,0,0.5
2007,69,4,1.0,1,5,1,Y,N,10000.0,CHGOFF,10000.0,Retail_trade,No Franchise,0,0,0.5
2006,24,1,1.0,0,1,1,Y,N,70000.0,CHGOFF,70000.0,Construction,No Franchise,0,0,0.5
2006,39,3,2.0,1,3,1,Y,N,47800.0,CHGOFF,25000.0,Health_care_social_ass,No Franchise,0,0,0.5
2007,63,5,1.0,2,2,1,N,N,22634.0,CHGOFF,25000.0,Admini_sup_and_waste_mgm_rem,No Franchise,0,0,0.5
2001,64,5,1.0,0,0,1,N,N,185000.0,CHGOFF,185000.0,Manufacturing,No Franchise,1,0,0.75
2008,8,1,1.0,0,0,2,Y,N,21325.0,CHGOFF,10000.0,Prof_scien_and_tech_serv,No Franchise,0,0,0.5
2007,65,6,1.0,0,6,1,Y,N,41818.0,CHGOFF,25000.0,Admini_sup_and_waste_mgm_rem,No Franchise,0,0,0.5
2006,30,2,2.0,2,4,2,Y,N,426508.0,CHGOFF,150000.0,Retail_trade,No Franchise,1,0,0.5
2004,44,2,1.0,0,0,1,Y,N,15000.0,CHGOFF,15000.0,Prof_scien_and_tech_serv,No Franchise,0,0,0.5
2007,46,30,1.0,0,30,2,Y,N,35551.0,CHGOFF,30000.0,Accommodation_food_serv,No Franchise,0,0,0.5
2004,20,3,1.0,0,3,1,Y,N,65745.0,CHGOFF,50000.0,Wholesale_trade,No Franchise,1,0,0.5
2006,53,1,2.0,1,2,2,Y,N,68308.0,CHGOFF,52000.0,Retail_trade,No Franchise,1,0,0.5
2007,30,2,1.0,0,2,1,Y,N,22000.0,CHGOFF,15000.0,Retail_trade,Franchise,1,0,0.5
2005,40,6,1.0,0,6,1,N,N,83000.0,CHGOFF,50000.0,Other_no_pub,No Franchise,0,0,0.5
2008,62,2,2.0,0,0,1,N,N,25000.0,CHGOFF,25000.0,Retail_trade,No Franchise,0,0,0.85
2007,40,1,1.0,0,1,2,Y,N,32856.0,CHGOFF,15000.0,Prof_scien_and_tech_serv,No Franchise,1,0,0.5
2007,41,1,2.0,0,1,1,Y,N,17000.0,CHGOFF,10000.0,Prof_scien_and_tech_serv,No Franchise,0,0,0.5
2007,61,1,2.0,0,1,2,Y,N,63080.0,CHGOFF,25000.0,Prof_scien_and_tech_serv,No Franchise,0,0,0.5
2008,49,2,1.0,1,2,1,N,N,48500.0,CHGOFF,48500.0,Admini_sup_and_waste_mgm_rem,No Franchise,1,0,0.5
2005,46,3,2.0,0,3,1,N,N,100000.0,CHGOFF,100000.0,Retail_trade,No Franchise,0,0,0.5
2008,46,5,1.0,0,5,1,N,N,20000.0,CHGOFF,20000.0,Prof_scien_and_tech_serv,No Franchise,0,0,0.85
